target_id	test_stat	pval	qval	rss	sigma_sq	tech_var	mean_obs	var_obs	sigma_sq_pmax	smooth_sigma_sq	final_sigma_sq	degrees_free
83	XM_003214858.3	16.418567595572	5.0785319455421e-05	0.0013706107140451	1.16529870450932	0.374868096862338	0.0135648046407687	4.45547471117723	0.388432901503106	0.374868096862338	0.0302615294011131	0.374868096862338	1
84	XM_003215490.3	16.3454400209038	5.2783009991142e-05	0.0013706107140451	20.4086248515431	6.56092265435197	0.241952296162386	3.1139083431864	6.80287495051436	6.56092265435197	0.109617568329346	6.56092265435197	1
85	XM_008116437.2	16.3482093310649	5.27059379030676e-05	0.0013706107140451	6.9500893369389	2.2343574209631	0.0823390246832021	0.625003923917354	2.3166964456463	2.2343574209631	1.97080700914904	2.2343574209631	1
86	XM_008122598.2	16.4170928813605	5.08248446051137e-05	0.0013706107140451	6.9500893369389	2.23576323264564	0.0809332130006564	0.625003923917354	2.3166964456463	2.23576323264564	1.97080700914905	2.23576323264564	1
87	XM_008125474.2	16.3743469040512	5.19840598934829e-05	0.0013706107140451	0.0482573341398813	0.0152020600342168	0.000883718012410294	6.97253954493076	0.0160857780466271	0.0152020600342168	0.0379507955948687	0.0379507955948687	1
88	XM_016993451.1	16.3363540882538	5.30366754565276e-05	0.0013706107140451	0.27147801381244	0.0872668733242623	0.00322579794655115	5.75002989191119	0.0904926712708136	0.0872668733242623	0.0252370265181479	0.0872668733242623	1
89	XR_507225.2	16.3603303225759	5.23699305231239e-05	0.0013706107140451	7.72933380652667	2.48515078314989	0.0912938190256687	0.696936792310639	2.57644460217556	2.48515078314989	2.0773543024078	2.48515078314989	1
90	XM_003214542.2	16.1235483265355	5.93415745732156e-05	0.00143669075282522	0.19469278722221	0.0624577776201279	0.00243981812060873	6.04537641185195	0.0648975957407367	0.0624577776201279	0.0264364532055561	0.0624577776201279	1
91	XM_003215592.3	16.1243466052373	5.93165677675696e-05	0.00143669075282522	0.615924869197763	0.197591286930898	0.0077170028016895	4.80628553252673	0.205308289732588	0.197591286930898	0.0263355304978303	0.197591286930898	1
92	XM_008120756.1	16.1763109998177	5.77113284719664e-05	0.00143669075282522	6.22012799963066	1.99644909177401	0.0769269081028734	0.553862041502051	2.07337599987689	1.99644909177401	1.85791334802227	1.99644909177401	1
93	XM_016993132.1	16.2058004365162	5.68198715802988e-05	0.00143669075282522	6.9500893369389	2.23137316065115	0.0853232849951539	0.625003923917354	2.3166964456463	2.23137316065115	1.97080700914904	2.23137316065115	1
94	XM_016993728.1	16.1323142030498	5.90675555583575e-05	0.00143669075282522	6.43429632995634	2.06430972708304	0.0804557162357406	0.575148558804137	2.14476544331878	2.06430972708304	1.8923256298348	2.06430972708304	1
95	XR_001730925.1	16.1242856196362	5.9318477822983e-05	0.00143669075282522	6.9500893369389	2.22961654467636	0.0870799009699406	0.625003923917354	2.3166964456463	2.22961654467636	1.97080700914904	2.22961654467636	1
96	XM_008114375.2	16.1010770327568	6.00498750812355e-05	0.00143869492382127	0.166030627642938	0.0532511864962904	0.00209235605135569	6.14006450083061	0.055343542547646	0.0532511864962904	0.0270275757030402	0.0532511864962904	1
97	XM_008121141.2	16.0635097236949	6.12530472591022e-05	0.00144229636078134	0.196549666630113	0.0630162187599556	0.00250033678341544	6.05685342753364	0.0655165555433712	0.0630162187599556	0.0265024707734952	0.0630162187599556	1
98	XR_001730619.1	16.0572963735005	6.145436667677e-05	0.00144229636078134	3.14198611537156	1.0072969099496	0.0400317951742564	3.82170545300234	1.04732870512385	1.0072969099496	0.0432110130638427	1.0072969099496	1
99	XM_008111410.2	15.9566234087439	6.48106099601923e-05	0.00150570103947921	0.641267452981552	0.205377237465094	0.00837858019542359	5.06860215837308	0.213755817660517	0.205377237465094	0.0255623484331038	0.205377237465094	1
100	XM_003215900.3	15.8357104938806	6.90862683284983e-05	0.00158898417155546	0.000123758752732177	-0.000741028326854744	0.000782281244432137	7.07239950567314	4.12529175773902e-05	0	0.0401791667366892	0.0401791667366892	1
101	XM_008111562.2	15.8049060167854	7.02201951667624e-05	0.00159907375132231	0.629937296892012	0.201430379573648	0.00854871939035619	4.73305137877377	0.209979098964005	0.201430379573648	0.0267813322713742	0.201430379573648	1
102	XM_003215430.3	15.6144332298514	7.7659546385679e-05	0.001734145210554	0.554075117087786	0.176805779537086	0.0078859261588424	4.9868211243978	0.184691705695929	0.176805779537086	0.0257192736712613	0.176805779537086	1
103	XM_008105730.1	15.621635011436	7.73643411353352e-05	0.001734145210554	8.64412320689417	2.75856741309148	0.122806989206581	0.776897309148969	2.88137440229806	2.75856741309148	2.18358105372163	2.75856741309148	1
104	XM_003215436.3	15.5270681318776	8.13322602965809e-05	0.00174429346990095	0.245782958051993	0.0783522795619211	0.00357537312207654	6.11728007211879	0.0819276526839975	0.0783522795619211	0.0268755604820305	0.0783522795619211	1
105	XM_003215552.2	15.5214376852882	8.15748648964636e-05	0.00174429346990095	0.127695591243454	0.0407050091365118	0.00186018794463945	6.22051657566796	0.0425651970811512	0.0407050091365118	0.0276157131811318	0.0407050091365118	1
106	XM_008116289.1	15.5644086800274	7.97415976919017e-05	0.00174429346990095	20.0914028482549	6.40758288387131	0.289551398880311	1.54802454692184	6.69713428275162	6.40758288387131	2.16953761835606	6.40758288387131	1
107	XM_008121062.2	15.5715579257434	7.9440637016066e-05	0.00174429346990095	0.454035678832092	0.144813482081954	0.00653174419541	4.91892612122041	0.151345226277364	0.144813482081954	0.0258914259153477	0.144813482081954	1
108	XM_008125926.2	15.5137807801028	8.19059542388272e-05	0.00174429346990095	0.224966754754539	0.0717054667671718	0.00328345148434135	5.92904477560108	0.0749889182515131	0.0717054667671718	0.0258516142603248	0.0717054667671718	1
109	XR_001730625.1	15.4831016594917	8.32461556565169e-05	0.00175542975359591	0.491362453561183	0.156560698911614	0.00722678560878041	5.17461346062906	0.163787484520394	0.156560698911614	0.0253719121991073	0.156560698911614	1
110	XR_001730711.1	15.4670679574059	8.39553360415435e-05	0.00175542975359591	3.08235334203296	0.981934865229525	0.0455162487814607	3.65017101885412	1.02745111401099	0.981934865229525	0.0531739016907289	0.981934865229525	1
111	XM_008112512.2	15.4183492516994	8.61477106644783e-05	0.00178504265340811	7.19380837004749	2.29040542370979	0.107530699639373	3.28421881976025	2.39793612334916	2.29040542370979	0.0831258200474931	2.29040542370979	1
112	XM_008117325.2	15.3699151372989	8.83843842858405e-05	0.0018150364630128	2.45246028801088	0.780381607035226	0.0371051556350689	3.72017119457256	0.817486762670294	0.780381607035226	0.0488672071060369	0.780381607035226	1
113	XM_008125460.2	15.352194553872	8.92172375804766e-05	0.00181592607464687	17.7702002572168	5.65334734841483	0.270052737324119	1.41458858663295	5.92340008573895	5.65334734841483	2.29826235535445	5.65334734841483	1
114	XM_003214383.3	15.3208642789531	9.07091067991999e-05	0.00183009601436982	0.777428500135083	0.247235394505541	0.0119074388728196	4.60328762740991	0.259142833378361	0.247235394505541	0.0280109761752407	0.247235394505541	1
115	XM_008109012.2	15.2970417604695	9.18602544162372e-05	0.00183720508832474	0.148599778125857	0.0472436438504159	0.00228961552486972	6.3087936560332	0.0495332593752855	0.0472436438504159	0.0283571280994592	0.0472436438504159	1
116	XM_003215049.2	15.117870450505	0.00010100263535259	0.0019874028782129	0.6111896308559	0.193881296077055	0.00984858087491157	4.74651295174711	0.203729876951966	0.193881296077055	0.0266879430647017	0.193881296077055	1
117	XM_003215764.3	15.1015729765501	0.000101878363125967	0.0019874028782129	0.0342585081223907	0.0104118612366134	0.00100764147085013	6.71131836614295	0.0114195027074635	0.0104118612366134	0.0332084365432506	0.0332084365432506	1
118	XM_003216074.3	15.1000162952596	0.000101962408534401	0.0019874028782129	0.00525388352279292	0.000823393624043175	0.000927900883554466	6.9838511708239	0.00175129450759766	0.000823393624043175	0.0381906596533958	0.0381906596533958	1
119	XM_008124028.2	15.023271435835	0.000106193567076627	0.00205248070820371	0.0726483720720186	0.0228763078353731	0.00133981618863314	6.61239389681362	0.0242161240240064	0.0228763078353731	0.0317684928999597	0.0317684928999597	1
120	XM_003215097.3	14.9738014087424	0.000109014220100699	0.00208943921859673	6.22012799963066	1.9694703657174	0.103905634159488	0.553862041502051	2.07337599987689	1.9694703657174	1.85791334802227	1.9694703657174	1
121	XM_003216069.3	14.9354723980452	0.000111251391303397	0.00209894889085028	0.130692190776895	0.0413598639225534	0.00220419966974479	6.09399557446886	0.0435640635922981	0.0413598639225534	0.0267266711758221	0.0413598639225534	1
122	XM_003216132.3	14.9340457099154	0.000111335549862493	0.00209894889085028	0.346708525850629	0.109719982059083	0.00584952655779325	5.18742592930618	0.115569508616877	0.109719982059083	0.025345810083029	0.109719982059083	1
123	XM_016998728.1	14.9185957443433	0.000112251038741113	0.00209900316345171	48.1888419188884	15.2467782151599	0.816169091136226	2.8611138445757	16.0629473062961	15.2467782151599	0.200842134667302	15.2467782151599	1
124	XM_003215452.3	14.8691601901037	0.000115231570543022	0.00211202286933345	0.397887530696367	0.125806396697292	0.00682278020149663	5.73350450002229	0.132629176898789	0.125806396697292	0.0251969766794215	0.125806396697292	1
